zip_code,City,investment_score,vacancy_rate,price_cut_rate,inv_chg_6m_pct,d_vacancy,d_price_cuts,d_inventory,distress_score
92626,Costa Mesa,59.65116279069768,0.0539532957075545,0.1486486486486486,51.020408163265294,63.95348837209303,12.790697674418606,86.04651162790698,47.55813953488372
92625,Newport Beach,41.627906976744185,0.1771999311176166,0.1443298969072164,27.63157894736843,91.86046511627907,11.627906976744185,61.627906976744185,46.68604651162791
92865,Orange,58.77906976744186,0.0227695832736646,0.2592592592592592,8.000000000000007,9.30232558139535,79.06976744186046,25.581395348837212,45.58139534883721
92806,Anaheim,55.58139534883722,0.0530677290836653,0.0714285714285714,179.99999999999997,60.46511627906976,1.744186046511628,98.83720930232558,45.552325581395344
92808,Anaheim,49.76744186046511,0.0187799507835772,0.2325581395348837,19.444444444444443,2.3255813953488373,69.76744186046511,44.18604651162791,45.23255813953489
92704,Santa Ana,59.82558139534884,0.0329135517535497,0.1910112359550561,39.0625,26.744186046511626,34.883720930232556,75.5813953488372,45.05813953488372
92870,Placentia,47.09302325581395,0.032151690024732,0.2,34.32835820895524,24.418604651162788,38.95348837209303,70.93023255813954,44.91279069767442
92651,Laguna Beach,44.65116279069767,0.2840806771114713,0.1757575757575757,12.244897959183664,96.51162790697676,23.25581395348837,32.55813953488372,44.36046511627907
92821,Brea,55.29069767441861,0.0401828353117751,0.1612903225806451,51.21951219512195,41.86046511627907,16.27906976744186,87.20930232558139,43.95348837209303
90630,Cypress,51.395348837209305,0.0348887649501146,0.1857142857142857,32.0754716981132,33.72093023255814,27.906976744186046,69.76744186046511,41.918604651162795
92683,Westminster,45.406976744186046,0.0372670807453416,0.1733333333333333,38.888888888888886,37.2093023255814,22.093023255813954,74.4186046511628,41.56976744186047
92782,Tustin,50.843023255813954,0.0346888868761887,0.1884057971014492,23.21428571428572,31.3953488372093,31.976744186046513,50.58139534883721,37.41279069767442
92869,Orange,56.56976744186046,0.0230494911716099,0.2222222222222222,3.2786885245901676,10.465116279069768,62.2093023255814,19.767441860465116,36.54069767441861
92629,Dana Point,49.59302325581395,0.2012930281320985,0.1794871794871795,-11.363636363636363,94.18604651162791,25.581395348837212,3.488372093023256,36.1046511627907
92835,Fullerton,50.058139534883715,0.0242463255015556,0.1864406779661017,28.260869565217384,13.953488372093023,29.651162790697676,63.95348837209303,36.01744186046512
90621,Buena Park,70.2906976744186,0.031491002570694,0.1020408163265306,63.33333333333333,23.25581395348837,4.651162790697675,91.86046511627907,35.46511627906977
92867,Orange,56.918604651162795,0.0264333863515867,0.1506849315068493,46.0,16.27906976744186,13.953488372093023,82.55813953488372,35.116279069767444
92841,Garden Grove,52.03488372093023,0.0217753698687226,0.1388888888888889,63.63636363636365,5.813953488372093,8.720930232558139,93.02325581395348,33.284883720930225
92708,Fountain Valley,51.33720930232558,0.0197291865016396,0.1428571428571428,59.09090909090908,4.651162790697675,10.465116279069768,90.69767441860465,33.081395348837205
92802,Anaheim,60.8139534883721,0.047987488682196,0.2,-9.090909090909092,52.32558139534884,38.95348837209303,6.976744186046512,32.70348837209303
92831,Fullerton,54.41860465116278,0.0625981778196669,0.1666666666666666,4.347826086956519,69.76744186046511,18.023255813953487,20.930232558139537,31.83139534883721
90680,Stanton,49.5639534883721,0.0380733486559408,0.2,0.0,38.372093023255815,38.95348837209303,14.534883720930234,31.482558139534884
92706,Santa Ana,63.895348837209305,0.0256512626010579,0.1578947368421052,26.66666666666666,15.11627906976744,15.11627906976744,58.139534883720934,28.023255813953487
92843,Garden Grove,63.43023255813954,0.0332792900418124,0.2,-3.846153846153843,27.906976744186046,38.95348837209303,9.30232558139535,27.29651162790698
92833,Fullerton,58.430232558139544,0.0340812096085843,0.1774193548387097,6.896551724137923,29.069767441860467,24.418604651162788,23.25581395348837,25.23255813953488
92861,Villa Park,56.36627906976744,0.0160955347871235,,-11.111111111111116,1.1627906976744187,50.58139534883721,5.232558139534884,24.622093023255818
92807,Anaheim,38.313953488372086,0.0276858503511179,0.1884057971014492,2.9850746268656803,18.6046511627907,31.976744186046513,18.6046511627907,24.622093023255815
92707,Santa Ana,65.61046511627907,0.0347745697624804,0.1836734693877551,0.0,32.55813953488372,26.744186046511626,14.534883720930234,24.53488372093023
92845,Garden Grove,44.65116279069768,0.0193192272309107,,-23.809523809523817,3.488372093023256,50.58139534883721,1.1627906976744187,23.982558139534884
92804,Anaheim,58.48837209302325,0.0321727812576262,0.1714285714285714,9.375,25.581395348837212,20.930232558139537,26.744186046511626,23.837209302325583
92701,Santa Ana,69.65116279069767,0.0271564241425319,0.1864406779661017,1.724137931034475,17.441860465116278,29.651162790697676,17.441860465116278,22.936046511627907
90720,Los Alamitos,64.12790697674419,0.0289961013645224,0.1666666666666666,7.14285714285714,19.767441860465116,18.023255813953487,24.418604651162788,20.377906976744185
92672,San Clemente,59.50581395348838,,0.1058823529411764,-3.409090909090906,50.58139534883721,5.813953488372093,10.465116279069768,18.401162790697676
90620,Buena Park,50.5232558139535,0.0233683732889661,0.1276595744680851,11.904761904761909,12.790697674418606,6.976744186046512,31.3953488372093,15.75581395348837
92840,Garden Grove,62.29651162790698,0.0431100846805234,0.0930232558139534,-12.244897959183676,47.674418604651166,3.488372093023256,2.3255813953488373,14.186046511627907
92703,Santa Ana,59.24418604651162,0.0312037858621709,0.1388888888888889,-2.7027027027026973,22.093023255813954,8.720930232558139,11.627906976744185,12.936046511627907
