rank,zip_code,City,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,core_service_area,str_status,str_notes,mello_roos_signal,wildfire_notes
37,90630,Cypress,51.395348837209305,0.3281279048150213,0.0348887649501146,0.1234131736526946,2150.0,117610.0,0.219369101266899,0.242304060434372,1087576.404035424,2.078225398054556,17.991917272364645,0.1857142857142857,32.0754716981132,False,,,,
38,92708,Fountain Valley,51.33720930232558,0.3412144292817095,0.0197291865016396,0.1323720109964209,2274.0,108860.0,0.2506705860738563,0.2959231126957061,1400905.7307199135,3.5590109506865364,25.23942766896741,0.1428571428571428,59.09090909090908,True,Verify,Not confirmed in research,Low,Low
39,92782,Tustin,50.843023255813954,0.3935331944570238,0.0346888868761887,0.2073704481792717,2477.0,139505.0,0.2130676319845167,0.3123130034522439,1338553.938356709,-0.6982205635341465,23.08108425225488,0.1884057971014492,23.214285714285722,False,,,,
40,92780,Tustin,50.75581395348837,0.5444585399607889,0.0502825510321762,0.3304051828263973,1972.0,89375.0,0.264772027972028,0.2853209065875873,1133026.6041647012,-0.1048057200857988,21.674517620432134,0.1904761904761904,50.0,False,,,,
41,90620,Buena Park,50.5232558139535,0.2629509188535128,0.0233683732889661,0.1124002364765001,2045.0,115501.0,0.2124656929377235,0.3051481161921196,952423.8359814332,0.712287606091766,14.74236227234842,0.1276595744680851,11.904761904761907,False,,,,
42,92805,Anaheim,50.174418604651166,0.5963570301668499,0.0779748529903905,0.2902696469753414,1762.0,81576.0,0.2591938805531038,0.2671957671957672,862343.5536495078,1.3475675228449058,15.001520651879275,0.2666666666666666,9.756097560975618,False,,,,
43,92835,Fullerton,50.058139534883715,0.3005042377427314,0.0242463255015556,0.1313501623546664,2011.0,131385.0,0.1836739353807512,0.2963227418779007,1323176.7068321423,0.2995643053302466,16.346061082150154,0.1864406779661017,28.260869565217384,False,,,,
44,92657,Newport Beach,49.970930232558146,0.26953125,0.177734375,0.1215351812366737,3133.0,194881.0,0.1929177292809458,0.1438923395445134,5606102.376588221,10.23981524623463,35.35761653943974,0.2068965517241379,0.0,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
45,92808,Anaheim,49.76744186046511,0.2748348659500065,0.0187799507835772,0.1369183829138062,2399.0,144348.0,0.1994346994762657,0.2700282752120641,1218713.3774767767,0.11783747614151352,16.067437866477707,0.2325581395348837,19.444444444444443,False,,,,
46,92629,Dana Point,49.59302325581395,0.3640573125982876,0.2012930281320985,0.2662545454545454,2491.0,119368.0,0.2504188727297098,0.2867770578353731,1765748.1110162542,4.982567442404395,22.622803593064166,0.1794871794871795,-11.363636363636365,True,Permitted (cap/waitlist),Active permit program; waitlist forms when cap is reached,Low-Moderate,Low (coastal)
